From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (molecular function)
P12111	P12111	reviewed	CO6A3_HUMAN	Collagen alpha-3(VI) chain	COL6A3	Homo sapiens (Human)	3177	cell adhesion [GO:0007155]; muscle organ development [GO:0007517]; neuron apoptotic process [GO:0051402]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; response to glucose [GO:0009749]; response to UV [GO:0009411]	collagen type VI trimer [GO:0005589]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; sarcolemma [GO:0042383]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]; muscle organ development [GO:0007517]; neuron apoptotic process [GO:0051402]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; response to glucose [GO:0009749]; response to UV [GO:0009411]	GO:0004867; GO:0005576; GO:0005589; GO:0005615; GO:0005788; GO:0007155; GO:0007517; GO:0009411; GO:0009749; GO:0030020; GO:0031012; GO:0042383; GO:0043491; GO:0051402; GO:0062023; GO:0070062; GO:1903561	collagen type VI trimer [GO:0005589]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; sarcolemma [GO:0042383]	extracellular matrix structural constituent conferring tensile strength [GO:0030020]; serine-type endopeptidase inhibitor activity [GO:0004867]
P12235	P12235	reviewed	ADT1_HUMAN	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	SLC25A4 AAC1 ANT1	Homo sapiens (Human)	298	adaptive thermogenesis [GO:1990845]; ADP transport [GO:0015866]; apoptotic mitochondrial changes [GO:0008637]; generation of precursor metabolites and energy [GO:0006091]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]; mitochondrial genome maintenance [GO:0000002]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of necroptotic process [GO:0060546]; positive regulation of mitophagy [GO:1901526]; regulation of mitochondrial membrane permeability [GO:0046902]	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial permeability transition pore complex [GO:0005757]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; adenine transmembrane transporter activity [GO:0015207]; ATP:ADP antiporter activity [GO:0005471]; oxidative phosphorylation uncoupler activity [GO:0017077]; proton transmembrane transporter activity [GO:0015078]; adaptive thermogenesis [GO:1990845]; ADP transport [GO:0015866]; apoptotic mitochondrial changes [GO:0008637]; generation of precursor metabolites and energy [GO:0006091]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]; mitochondrial genome maintenance [GO:0000002]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of necroptotic process [GO:0060546]; positive regulation of mitophagy [GO:1901526]; regulation of mitochondrial membrane permeability [GO:0046902]	GO:0000002; GO:0005471; GO:0005739; GO:0005743; GO:0005757; GO:0005886; GO:0006091; GO:0008637; GO:0015078; GO:0015207; GO:0015866; GO:0016020; GO:0017077; GO:0031966; GO:0046902; GO:0060546; GO:0140021; GO:1901029; GO:1901526; GO:1990544; GO:1990845	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial permeability transition pore complex [GO:0005757]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	adenine transmembrane transporter activity [GO:0015207]; ATP:ADP antiporter activity [GO:0005471]; oxidative phosphorylation uncoupler activity [GO:0017077]; proton transmembrane transporter activity [GO:0015078]
P12259	P12259	reviewed	FA5_HUMAN	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224	blood circulation [GO:0008015]; blood coagulation [GO:0007596]; response to vitamin K [GO:0032571]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; copper ion binding [GO:0005507]; blood circulation [GO:0008015]; blood coagulation [GO:0007596]; response to vitamin K [GO:0032571]	GO:0005507; GO:0005576; GO:0005615; GO:0005788; GO:0005886; GO:0007596; GO:0008015; GO:0016020; GO:0030134; GO:0031091; GO:0031093; GO:0032571; GO:0033116; GO:1903561	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]	copper ion binding [GO:0005507]
P12318	P12318	reviewed	FCG2A_HUMAN	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)	317	antibody-dependent cellular cytotoxicity [GO:0001788]; cell surface receptor signaling pathway [GO:0007166]; positive regulation of phagocytosis [GO:0050766]; positive regulation of tumor necrosis factor production [GO:0032760]	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; IgG binding [GO:0019864]; IgG receptor activity [GO:0019770]; antibody-dependent cellular cytotoxicity [GO:0001788]; cell surface receptor signaling pathway [GO:0007166]; positive regulation of phagocytosis [GO:0050766]; positive regulation of tumor necrosis factor production [GO:0032760]	GO:0001788; GO:0005886; GO:0007166; GO:0009897; GO:0019770; GO:0019864; GO:0030667; GO:0032760; GO:0050766	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	IgG binding [GO:0019864]; IgG receptor activity [GO:0019770]
P12429	P12429	reviewed	ANXA3_HUMAN	Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)	ANXA3 ANX3	Homo sapiens (Human)	323	animal organ regeneration [GO:0031100]; defense response to bacterium [GO:0042742]; hippocampus development [GO:0021766]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; positive regulation of angiogenesis [GO:0045766]; positive regulation of DNA metabolic process [GO:0051054]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell migration [GO:0010595]; response to glucocorticoid [GO:0051384]; response to growth factor [GO:0070848]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; specific granule [GO:0042581]; vesicle membrane [GO:0012506]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; phosphatidylserine binding [GO:0001786]; phospholipase A2 inhibitor activity [GO:0019834]; animal organ regeneration [GO:0031100]; defense response to bacterium [GO:0042742]; hippocampus development [GO:0021766]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; positive regulation of angiogenesis [GO:0045766]; positive regulation of DNA metabolic process [GO:0051054]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell migration [GO:0010595]; response to glucocorticoid [GO:0051384]; response to growth factor [GO:0070848]	GO:0001786; GO:0005509; GO:0005544; GO:0005634; GO:0005737; GO:0005886; GO:0006909; GO:0010595; GO:0012506; GO:0016020; GO:0019834; GO:0021766; GO:0030424; GO:0030425; GO:0030670; GO:0031100; GO:0042581; GO:0042742; GO:0043025; GO:0043312; GO:0045766; GO:0048306; GO:0051054; GO:0051091; GO:0051384; GO:0070062; GO:0070848	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; specific granule [GO:0042581]; vesicle membrane [GO:0012506]	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; phosphatidylserine binding [GO:0001786]; phospholipase A2 inhibitor activity [GO:0019834]
P12814	P12814	reviewed	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1	Homo sapiens (Human)	892	actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; focal adhesion assembly [GO:0048041]; muscle cell development [GO:0055001]; platelet formation [GO:0030220]; platelet morphogenesis [GO:0036344]; regulation of apoptotic process [GO:0042981]	brush border [GO:0005903]; cell junction [GO:0030054]; cell projection [GO:0042995]; cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; pseudopodium [GO:0031143]; ruffle [GO:0001726]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; double-stranded RNA binding [GO:0003725]; integrin binding [GO:0005178]; nuclear receptor coactivator activity [GO:0030374]; protein homodimerization activity [GO:0042803]; structural constituent of postsynapse [GO:0099186]; transmembrane transporter binding [GO:0044325]; vinculin binding [GO:0017166]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; focal adhesion assembly [GO:0048041]; muscle cell development [GO:0055001]; platelet formation [GO:0030220]; platelet morphogenesis [GO:0036344]; regulation of apoptotic process [GO:0042981]	GO:0001725; GO:0001726; GO:0003725; GO:0005178; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005903; GO:0005911; GO:0005916; GO:0005925; GO:0007015; GO:0017166; GO:0030018; GO:0030036; GO:0030054; GO:0030220; GO:0030374; GO:0030864; GO:0031093; GO:0031143; GO:0036344; GO:0042803; GO:0042981; GO:0042995; GO:0044325; GO:0048041; GO:0051015; GO:0051017; GO:0051639; GO:0055001; GO:0070062; GO:0098978; GO:0099186	brush border [GO:0005903]; cell junction [GO:0030054]; cell projection [GO:0042995]; cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; pseudopodium [GO:0031143]; ruffle [GO:0001726]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; double-stranded RNA binding [GO:0003725]; integrin binding [GO:0005178]; nuclear receptor coactivator activity [GO:0030374]; protein homodimerization activity [GO:0042803]; structural constituent of postsynapse [GO:0099186]; transmembrane transporter binding [GO:0044325]; vinculin binding [GO:0017166]
P12830	P12830	reviewed	CADH1_HUMAN	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	CDH1 CDHE UVO	Homo sapiens (Human)	882	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cellular response to indole-3-methanol [GO:0071681]; cellular response to lithium ion [GO:0071285]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of axon extension [GO:0030517]; negative regulation of cell migration [GO:0030336]; negative regulation of cell-cell adhesion [GO:0022408]; neuron projection development [GO:0031175]; pituitary gland development [GO:0021983]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of protein import into nucleus [GO:0042307]; protein localization to plasma membrane [GO:0072659]; regulation of gene expression [GO:0010468]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; response to Gram-positive bacterium [GO:0140459]; response to heparin [GO:0071503]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; synapse assembly [GO:0007416]	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; catenin complex [GO:0016342]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; desmosome [GO:0030057]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; flotillin complex [GO:0016600]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; trans-Golgi network [GO:0005802]; ankyrin binding [GO:0030506]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; gamma-catenin binding [GO:0045295]; GTPase activating protein binding [GO:0032794]; identical protein binding [GO:0042802]; protein tyrosine kinase binding [GO:1990782]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cellular response to indole-3-methanol [GO:0071681]; cellular response to lithium ion [GO:0071285]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of axon extension [GO:0030517]; negative regulation of cell migration [GO:0030336]; negative regulation of cell-cell adhesion [GO:0022408]; neuron projection development [GO:0031175]; pituitary gland development [GO:0021983]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of protein import into nucleus [GO:0042307]; protein localization to plasma membrane [GO:0072659]; regulation of gene expression [GO:0010468]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; response to Gram-positive bacterium [GO:0140459]; response to heparin [GO:0071503]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; synapse assembly [GO:0007416]	GO:0000902; GO:0005509; GO:0005576; GO:0005737; GO:0005768; GO:0005802; GO:0005886; GO:0005912; GO:0007043; GO:0007156; GO:0007416; GO:0008013; GO:0009410; GO:0009636; GO:0009898; GO:0010468; GO:0015629; GO:0016020; GO:0016328; GO:0016339; GO:0016342; GO:0016477; GO:0016600; GO:0021983; GO:0022408; GO:0030027; GO:0030054; GO:0030057; GO:0030336; GO:0030506; GO:0030517; GO:0031175; GO:0032794; GO:0034332; GO:0042307; GO:0042802; GO:0043296; GO:0044331; GO:0045295; GO:0045296; GO:0045893; GO:0048471; GO:0050839; GO:0070062; GO:0071285; GO:0071503; GO:0071681; GO:0072659; GO:0098609; GO:0098794; GO:0098978; GO:0099576; GO:0140459; GO:1990782	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; catenin complex [GO:0016342]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; desmosome [GO:0030057]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; flotillin complex [GO:0016600]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; trans-Golgi network [GO:0005802]	ankyrin binding [GO:0030506]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; gamma-catenin binding [GO:0045295]; GTPase activating protein binding [GO:0032794]; identical protein binding [GO:0042802]; protein tyrosine kinase binding [GO:1990782]
P12955	P12955	reviewed	PEPD_HUMAN	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	PEPD PRD	Homo sapiens (Human)	493	amino acid metabolic process [GO:0006520]; collagen catabolic process [GO:0030574]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]	extracellular exosome [GO:0070062]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; metallocarboxypeptidase activity [GO:0004181]; peptidase activity [GO:0008233]; proline dipeptidase activity [GO:0102009]; amino acid metabolic process [GO:0006520]; collagen catabolic process [GO:0030574]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]	GO:0004181; GO:0006508; GO:0006520; GO:0008233; GO:0030145; GO:0030574; GO:0043069; GO:0070006; GO:0070062; GO:0102009	extracellular exosome [GO:0070062]	manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; metallocarboxypeptidase activity [GO:0004181]; peptidase activity [GO:0008233]; proline dipeptidase activity [GO:0102009]
P13224	P13224	reviewed	GP1BB_HUMAN	Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c)	GP1BB	Homo sapiens (Human)	206	blood coagulation, intrinsic pathway [GO:0007597]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; megakaryocyte development [GO:0035855]; platelet activation [GO:0030168]; positive regulation of platelet activation [GO:0010572]; release of sequestered calcium ion into cytosol [GO:0051209]	glycoprotein Ib-IX-V complex [GO:1990779]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]; blood coagulation, intrinsic pathway [GO:0007597]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; megakaryocyte development [GO:0035855]; platelet activation [GO:0030168]; positive regulation of platelet activation [GO:0010572]; release of sequestered calcium ion into cytosol [GO:0051209]	GO:0004888; GO:0005886; GO:0007155; GO:0007166; GO:0007597; GO:0010572; GO:0030168; GO:0035855; GO:0042802; GO:0051209; GO:1990779	glycoprotein Ib-IX-V complex [GO:1990779]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]
P13473	P13473	reviewed	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	Homo sapiens (Human)	410	autophagosome maturation [GO:0097352]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; lysosomal lumen acidification [GO:0007042]; lysosomal protein catabolic process [GO:1905146]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of protein-containing complex assembly [GO:0031333]; protein catabolic process [GO:0030163]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein stability [GO:0031647]	autolysosome [GO:0044754]; autophagosome membrane [GO:0000421]; azurophil granule membrane [GO:0035577]; chaperone-mediated autophagy translocation complex [GO:0061742]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; trans-Golgi network [GO:0005802]; enzyme binding [GO:0019899]; ion channel inhibitor activity [GO:0008200]; protein domain specific binding [GO:0019904]; signaling adaptor activity [GO:0035591]; autophagosome maturation [GO:0097352]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; lysosomal lumen acidification [GO:0007042]; lysosomal protein catabolic process [GO:1905146]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of protein-containing complex assembly [GO:0031333]; protein catabolic process [GO:0030163]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein stability [GO:0031647]	GO:0000421; GO:0005615; GO:0005764; GO:0005765; GO:0005770; GO:0005802; GO:0005886; GO:0006605; GO:0007042; GO:0008200; GO:0009267; GO:0016020; GO:0017038; GO:0019899; GO:0019904; GO:0030163; GO:0030670; GO:0031088; GO:0031333; GO:0031647; GO:0031902; GO:0035577; GO:0035591; GO:0043202; GO:0043231; GO:0044754; GO:0046716; GO:0048471; GO:0050821; GO:0061684; GO:0061740; GO:0061742; GO:0070062; GO:0097352; GO:0101003; GO:1900226; GO:1905146	autolysosome [GO:0044754]; autophagosome membrane [GO:0000421]; azurophil granule membrane [GO:0035577]; chaperone-mediated autophagy translocation complex [GO:0061742]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; trans-Golgi network [GO:0005802]	enzyme binding [GO:0019899]; ion channel inhibitor activity [GO:0008200]; protein domain specific binding [GO:0019904]; signaling adaptor activity [GO:0035591]
P13489	P13489	reviewed	RINI_HUMAN	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461	cell migration [GO:0016477]; mRNA catabolic process [GO:0006402]; regulation of angiogenesis [GO:0045765]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]; tRNA stabilization [GO:0036416]	angiogenin-PRI complex [GO:0032311]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ribonuclease inhibitor activity [GO:0008428]; cell migration [GO:0016477]; mRNA catabolic process [GO:0006402]; regulation of angiogenesis [GO:0045765]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]; tRNA stabilization [GO:0036416]	GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006402; GO:0008428; GO:0016477; GO:0030027; GO:0032311; GO:0034315; GO:0036416; GO:0045765; GO:0070062	angiogenin-PRI complex [GO:0032311]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ribonuclease inhibitor activity [GO:0008428]
P13591	P13591	reviewed	NCAM1_HUMAN	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	NCAM1 NCAM	Homo sapiens (Human)	858	cell adhesion [GO:0007155]; commissural neuron axon guidance [GO:0071679]; epithelial to mesenchymal transition [GO:0001837]; regulation of semaphorin-plexin signaling pathway [GO:2001260]	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; virus receptor activity [GO:0001618]; cell adhesion [GO:0007155]; commissural neuron axon guidance [GO:0071679]; epithelial to mesenchymal transition [GO:0001837]; regulation of semaphorin-plexin signaling pathway [GO:2001260]	GO:0000139; GO:0001618; GO:0001837; GO:0005576; GO:0005829; GO:0005886; GO:0007155; GO:0009897; GO:0009986; GO:0016020; GO:0062023; GO:0071679; GO:2001260	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]	virus receptor activity [GO:0001618]
P13598	P13598	reviewed	ICAM2_HUMAN	Intercellular adhesion molecule 2 (ICAM-2) (CD antigen CD102)	ICAM2	Homo sapiens (Human)	275	cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]	cleavage furrow [GO:0032154]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; uropod [GO:0001931]; integrin binding [GO:0005178]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]	GO:0001931; GO:0005178; GO:0005886; GO:0005902; GO:0007155; GO:0016020; GO:0032154; GO:0098609	cleavage furrow [GO:0032154]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; uropod [GO:0001931]	integrin binding [GO:0005178]
